content	label
我在公园散步， 看见一对儿无手挽着手也在散步， 很恩爱的样子。 过了会儿，我突然听到那对儿无争吵起来， 只见那女孩儿推了男孩儿一下， 男孩儿没站稳，一屁股坐到了地上。 女孩儿见状，想伸手拉他起来。 谁知男孩儿生气地说：“我忍你很久了， 今天你不抱我起来，我就一直坐着……”	3
A：“你知道HTML是什么吗？” B：“当然，笨蛋！就是“How to make love？”	2
小学五年级时，班主任问一组第一位同学：你是什么民族；同学说：“彝族”。 然后问在打瞌睡的第二位同学：“你呢？” 他迷迷糊糊的答道：“二族”。	1
妈妈：你怎么和她分手了？ 儿子：她爱上了别人。 妈妈：谁？ 儿子：我的前女友。 妈妈：……	3
我是济南的，一次我爸爸的同事几个去美国出差，到超市买东西，用济南话讨论，这是旁边有个美国人过来用标准的济南话说：你们是济南的？！同事们暴汗，聊了会，原来这老外是以前战争时期留在中国的美国人后代，同事问他：那你英文怎么样啊？ 老外一拍大腿道：英语太他妈难学了！！	3
他大声叫道：太太，今天总算没忘记帮你寄信，信已寄出去，不在我的口袋里了。 周太太自房中出来，说：别胡说了今天早上我忘了将信交给你了。	3
刚才办公室MM问我为什么另一个MM能玩的游戏在她的机器上要S机。答曰，可能显卡驱动不行。MM遂要求帮助下载最新版，并安装。答曰，我有什么好处。 MM说：最多我让你玩一会儿好了。 0.01秒后，桌子上、椅子上全看不到人了，除了那个MM（搞不清楚为什么大家都到地上找笔去了）。	2
过去，一个乡下先生参加科举考试，考题是《明月》。那先生即吟诗一首：团团离海角，渐渐出云衢；此夜一轮满，清光何处无。 考官说：意思很好，可就是没韵。 乡下先生回答道：就是因为没运（运气的运与韵1），才只能教书；倘若有运，早就做官了。	1
迷信的人占课算命，先向神磕上几个响头，后用几枚铜钱合在两只手里摇几摇，再一枚一枚摊放在香案上，察看钱的正反面，以此断定来年的吉凶祸福。这就叫金钱课。为啥要用铜钱来占课呢？有人嘲笑道：钱可通神，有钱处处都灵验嘛！	2
母子俩参观军事展览馆。儿子看到一具导弹，饶有兴趣地问讲解员：这是什么？ AA导弹。 干吗用的？ 地对空，打飞机的。 哦！儿子高兴地说，那架飞机正飞过这儿，打给我看一下吧。 母亲正颜厉色地说：别给他打，这孩子没礼貌，他连‘请’都不说一声。	3
我该怎么办呢？一位想结婚的青年人对他的朋友说：每个我带回家的女朋友，我母亲都不喜欢。 这个好办。他的朋友说：你只要找一个像你母亲的就行了。 早就试过了，他说：但那样我父亲又不喜欢。	3
小明问老师：“货币贬值太厉害了，有什么办法可以让货币升值？” 老师：“首先，在1块钱硬币上打两个眼儿。” 小明：“啊？好吧，打好了。然后呢？” 老师：“……于是你得到了一个价值4块钱的纽扣。” 小明：“长知识了！”	3
打电话到最后， 男人温和地说：“你先挂”， 女孩儿一听眼里带笑撒娇道：“不嘛，你先挂..” 话音刚落男人就撂下了电话。。	3
公司组织KTV，六个男同胞，突觉没有女的， 同事A拿起电话呼叫一女纸前来“暖场”， 电话扩音，A：“过来唱歌。” 女纸曰：“你那边几个人！” A：“六个帅哥！” 女纸：“你们三对情侣，我去凑什么热闹啊……” 众人当时就黑线了	3
我有个在政府机关工作的老同学，读书时是班上的白字大王，几年不见，今日巧遇，我看着不到发福年纪的他说：“你又发福了，又升官了吧？” 他笑笑：“是，升处长三个月了。哎，真没办法，就是喝白开水也长肉。” “你呀，该到老少边穷的地方去吃吃苦。” “你呢，还在基层？” “是啊，我又不龙（庞）大，做人又出（倔），是升不了官的。” 我用他的白字调侃着。他的脸掠过一丝不易察觉的不快，瞬间就消失的无影无踪了，依就是一脸的阳光：“你呀，还是那么玩世不恭，真的是病入膏盲（肓），不可药救。人无完人，有谁是白璧无假（瑕）的。”	1
子：你和老妈吵架，把脖子扭伤了，这两天的滋味任何？ 父：唉，别提了！简直是不堪回首！！	2
A：“刚才那个人，你认识他吗？” B：“认识，是我亲戚。” A：“你们是什么亲戚？” B：“很奇怪的亲戚，他和我的未婚妻结婚了。”	3
省城工作的儿子，用一百八十元买了一件鸭绒风雪衣，寄给在农村的父亲。父亲一生劳苦艰辛，省吃俭用。老人要是知道这件风雪衣花了一百八十元，那还不心疼出病来。于是他写信说买的是减价货，只花了八十元。 父亲收到风雪衣：好老天爷！一件袄就八十元？他舍不得穿，拿到会上卖了一百元，并给儿子写了回信：你捎的风雪衣我卖了，还挣了二十元。你赶快再买十件捎回来，爸还能给你挣二百元。	3
有一位漂亮的美女，想通过电脑查查自己的未来伴侣！ 美女根据要求填入了交友的两个条件：1，要帅。2，要有车。过了一会，答案出来了：“象棋”。	2
儿子领着抱病的父亲来到医院，医生诊断后说：是癌症，只能活几个月。 父亲听后，对儿子说：我们去喝酒。儿子虽然不爱喝酒，但为了满足父亲的愿望，还是跟父亲去了酒馆。酒馆就在家附近，父亲的朋友也经常来喝酒。父子俩刚喝了一瓶啤酒，父亲的朋友们就走了进来。父亲跟他们一一打过招呼后，站起来大声宣布：亲爱的朋友们，我就快死啦，我得了爱滋病。 儿子听后异常惊讶，悄声儿对父亲说：爸爸，是癌，不是爱滋病！ 父亲低声耳语道：孩子，你说的没错。你还小，我这么说完全是为了你好，我不想你有个后爸。	3
一记者听说一老汉养的马天下无双，便去采访他！ 记者：“大爷，请问你的马平时怎么睡觉的？ 老汉：“卧槽。 记者：“大爷，您的马是什么品种？ 老汉：“草泥马。 记者：“大爷，那这种马是来自那里？” 老汉：“马勒戈壁。” 记者采访完，当场就哭了！	1
医生问妇人：婴儿是吃母乳还是牛奶？ 妇人：吃母乳。 医生：请你把衣服脱下来。 妇人：啊？为什么？ 医生：这是妇产科绝不会对你有任何侵犯。 妇人脱去了上衣，医生在妇人的胸部上上摸摸，下摸摸左搓搓右揉揉说：难怪婴儿会营养不良，你根本就没有母乳嘛！ 妇人：废话！我当然没有，我是他阿姨！	3
学校叫扬州大学（简称扬大） 旺旺一日与学长交流， 问其是否准备考研，学长很深沉的答道：“嗯，留洋！” 旺旺羡慕道：“哇，高富帅啊，准备去欧洲还是美洲？” 学长默默低下头：“我是说留在扬大！” 一屋人凌乱的目光……	1
老张特爱打篮球，且球技高超，三分球每投必进。后因病伤一眼。再打球，屡投不中。同事笑称：老张现在是一眼难进。	1
和哥们正在讨论苍老师，哥们四岁的女儿进来，说：爸爸，我以后也要当空姐。 哥们差点一口气没吐出来，严词拒绝：不行！ 哥们女儿：可是电视上空姐都穿得好漂亮，又在飞机上给大家服务，老师说空姐是世界最伟大的职业。 哥们风中凌乱了，整整半分钟后才明白此空姐非彼空姐。	1
一个裁缝上茅坑，把量衣尺插入墙里，解手完了忘记取尺。随后一个满州人上坑，将弓箭袋挂在尺上。 一会儿，裁缝来拿尺，见有满人，观望了很久，犹犹豫豫不敢上前拔尺。 满人问道：蛮子要干什么？ 裁缝答道：我要尺。 满人发火道：我屙也没屙完，你就要拆（尺）坑！	1
母亲打开一箱心爱的旧衣服。她叫12岁的大女儿来看，说：这些都是妈最喜爱的衣服，留下来给你，等你长大时可以拿去穿！ 女儿对妈妈说：妈咪！你别急，等我有女儿后，就把这堆衣服给她穿！	3
何大娘对老伴说：“邻居韩大爷给他孙子起的名字叫韩金量，高大爷给他孙子起的名字叫高科技，咱们也快有孙子了，你也给起个响亮的名字吧？” 何大爷不假思索地说：“就叫何武器！”	1
儿子问：“爸爸，我到底是从哪里来的？” 爸爸支支吾吾地向他讲解生殖的过程。 儿子听完，一头雾水地说：“怎么会这样？我同桌说他是从山东来的！”	2
女朋友不小心把给家人的短信发到了我手机上， 内容是：“爸妈你们别再找我了，保重身体， 儿子现在过得很好。” 看完我惊得一句话都说不出来了， 原来她，根本不是孤儿。	3
一个老总带着女秘书在公园散步，一个园林工在清理草坪，割草机割下的青草飘出了很浓的青草味，老总感叹说：“没想到这青草的味还这么的清香！” 园林工说：“难怪老牛喜欢吃嫩草！”	3
某日，同宿舍的X君对我说：“我要是娶到A女士一定做一个超级模范丈夫。” 我问：“何为超级模范丈夫？” 答曰：“我如果挣两块钱就交给他一块五，然后用那五毛再给她买点儿东西；每次吃饭都让她先吃，她吃剩下的饭菜留着她下顿再吃，我就喝河水雨水雪水吃点草根树皮对付对付。” “不错，还过了一回原始人的瘾。” “不过咱也有改善生活的时候。” “她过生日的时候？” “不，当我逮到耗子的时候。” “……”	3
复活节前夜，迈可的食品店正要关门时，一位女士冲了进来。她一边划着十字感谢上帝总算在商店打烊前赶到了，一边说要买只火鸡。 迈可走进厨房，打开冰箱，拿出卖剩下的最后一只火鸡，称了一下，四磅半重。 那位女士问：有没有更大的？ 迈可打算赶紧把她打发掉好回家过节，于是他假装把火鸡放回厨房，转了一圈又把它拿了出来，这回称的时候他偷偷用手压着秤，一称足有七磅重。 女士高兴地说：太棒了。这两只火鸡我都要了。	3
小学生在讲故事：猫见了老鼠变成了老虎，但是见了老虎，又变成了老鼠…… 有人问他，这个但是是什么意思？ 他想了想，答道：这是一种比猫大，而比老虎小的动物。	2
从前，有个商人识字不多，却好卖弄文字。一天，他搭船外出经商，船停泊在江心寺，他和同行者一块下船到寺里游玩，忽见亭上写着：江心赋三个宇。他大惊失色，忙喊：有贼，有贼！同行的人都莫名其妙，他却一本正经地说：那墙上不是写着‘江心贼’吗！同行的人都笑了，对他说：那不是‘贼’，那是‘赋’。 这个人仍连连摇头说：富倒是富（赋），可总是有点贼样子。	1
其实我并不懂五行之术，却装出江湖术士的样子，抓起她的手，“我来给你看相。”并信口胡说一番。 然后又伸出我的手给她看，“请注意我的掌纹和你自己的掌纹。” 说着煞有介事地将我的掌心和她的贴在一起。 “知道这叫什么吗？”我故作深沉，紧接着说，“这叫心心相印。”	3
今天心血来潮，发短信调戏老公“帅哥，我注意你很久了，出来一起吃个饭呗” 本想着他会配合说好呀或者去哪呀之类的，结果这厮回了一句“你妹，你这是给谁发的”。	3
姐姐质问妹妹：小玛丽，钢琴上贝多芬半身像的一只耳朵破了，是不是你碰的？ 那有什么关系！妹妹说，反正贝多芬是个聋子。	3
小虎重重地摔了一跤，满身是泥的跑回家里。妈妈看见了，惊叫起来：你怎么搞的？刚穿上的新裤子，就弄的这么脏？ 小虎说：妈妈，我摔的时候来不及把裤子脱掉。	3
有一辆汽车在路上正常驾驶，突然被交警拦下来，开一张罚款单。 司机不明白就问：“为什么要罚款。” 警察：“你不听从交警指挥，所以要罚款。” 司机：“你叫我停下我就停下，怎么不听从交警指挥啦？” 警察：“但是我叫你罚款你不罚款，就是不听从指挥，不听从指挥就得罚款。”	3
记者：听说你是最富有的动物，因为人们都说你的房子多。 蜜蜂：多啥呀，不过就是住的集体宿舍罢了。	3
一天，妻子对丈夫抱怨到：“听说你给学生上课时，总爱叫女生回答问题，是不是？，你这是什么意思？” 丈夫：“我那班一共有50来个学生，但男学生只有3个，你叫我怎么办？”	3
小学开学了，刚满六岁的冬冬不肯到学校注册上学。妈妈向冬冬解释，法律规定小朋友满六岁就要到学校上学，一直到十五岁。最后冬冬终于在学校书桌前坐下来，眼里含着泪水的对他妈妈说：等我十五岁的时候，你会记得来接我吗？	2
他们说昨天运动会有个男的跑步抽筋了， 半死不活的躺在地上来了个人给他揉腿， 好家伙一顿猛揉搓，搓了好几分钟。 躺在地上的老大哥缓缓睁开了双眼， 就说了六个字：抽…的是那条腿…. 哈哈哈哈哈哈哈哈哈哈哈~	3
一大群女生到农场实习，农场老板教大家挤牛奶，示范作完， 请女生们亲自动手试试。 这时一个女生看到别人已经挤了小半筒而自己的只有一点点，非常不解。 农场主过来看看说：“女同学，你挤错牛了”。~~	3
西北人好客，有一次，某乡领导下乡来到一村，晚上，女主人做了可口的饭菜，领导吃饱了，女主人却认为他吃得太少，不停地说：再吃些，再吃些！领导说：饱了，饱了。女主人说：哎，那你吃了个屁！	2
接一个新客户的电话，不知是哪人，口音特重。 我给他做资料登记“贵姓？” “我姓要” “要？” “要命的要” “哪有这个姓啊？” 我打开免提，让办公室一帮人帮着猜到底说的是什么姓。 电话那头的客户急坏了“真要命，你们咋连要命都不知道咧！要命，就是那个打篮球的要命！”	1
爸爸故意问：“小明，你们班谁最懒？” 小明：“不知道，爸爸。” 爸爸：“你仔细想想，当所有同学都在用功做作业时，谁闲坐着东张西望？” 小明：“老师！”	3
一日，一个财主要盖一座猪舍，请来一师傅动工，建成后又要让师傅说祝福的话，师傅长的又高又大，便说：“希望你的猪能长的像我这么大。”财主听了非常高兴，可是师傅又说了一句：“我30多年才长这么大！”	3
一个年迈的管家，有一次提着一瓶酒回来，看到客厅墙上一个黑色的点，以为是钉子，于是顺手挂在上面，谁知竟是只苍蝇。老管家生气的在那里钉上一颗钉子，以示警戒。又一次提酒回来，看到墙上黑点，他很得意的说：以为我还会上当么？他轻轻走过去，用手猛的一拍。咳咳…声音那个凄惨呐…	3
北斗七仙下界，见二个孩童坐在地上下象棋，就围了上去。 孩童本无棋艺，见有人围观，便无心下棋，收棋起身欲走。 众仙齐声说:“二位小哥慢走，请把你们吃不完的饼卖几个来,我们四处游玩，粒米未进实在是太饿了!” 孩童大惑道：“我们都还没吃呢,那来的饼卖给你们吃？” 七仙大怒，指着孩童怀里的象棋说：“难道这些不是饼吗?”	3
一个孤独的汉子进了酒吧，没话找话和老板聊天：“又要竞选总统啦……” 老板连忙制止说：“别谈这个，谁在我的酒吧里也不能谈政治话题，太乏味了。” 汉子换了个话题，又说：“听说保罗二世……” 结果又被打断：“别谈宗教，太乏味了。” “那就说足球吧，最近巴黎 PSG 队屡败屡战……” “你千万别提这事，多少人就因为谈足球在我这里打将起来……” 汉子忍无可忍，憋了一口气，问道：“那咱谈谈性话题？” 老板高兴地回答说：“好呀！” “我Cao你大爷！”	3
蜘蛛正在网上，网警爬了过来问：“你是谁？” “……” “按实名制登记了吗？” “……” “年龄？” “……” “性别？” “……” “身份证？” “……” 正问着，蜘蛛抬起一脚将其踹下：“NND，老子上自己家的网还要被你监视，这是哪一个畜生规定的？！”	2
亨利打电话给经理，称他患了喉炎，不能前去上班。 如果你是患了喉炎。为什么在电话里说话声音还不轻一点，干嘛还要大喊大叫的？经理不无怀疑地问。 我说话声音为什么要轻一点？患喉炎又不是什么秘密。	3
收到俺老娘短信一枚：“回来时买两瓶维生素，2B。” 把B2打成2B我也就不说啥了，前面居然还加了个逗号，这我就不能理解了。	2
在网上看个新闻，大概内容是：老公买了一只藏獒幼仔，没时间养，一直是老婆在养；一次老公老婆吵架，老公把老婆打了，结果藏獒冲出来果断把老公手咬断了！ 看完新闻我问老公：“从这条新闻中你得到了什么教训？” 本想听他说不能打老婆，没想到这货居然说：“打老婆时要把狗栓好！”	3
新颖的金属眼镜架给小王平添了几分学者风度。 你知道达尔文吗？刚结识的女友突然问道。 当然知道。小王的语调十分自信，我学过两年，比英文、日文难学多啦！	2
在某大学进修中文的一外国女学生用成语一见钟情造句：昨晚做好全部功课，我一见钟，情不自禁地叫了起来！ 不对，不能将成语拆开。年轻的男教师纠正道。 今晨我到校一见钟情，就向她问好。 词不达意，还是不对。 她望着男教师又说：我对您一见钟情…… 这次对啦！啊？不对。 男教师红着脸说：句子对了，对象不对。	2
我朋友去年结婚，她和他老公都是单亲。 我朋友一直跟着她妈妈生活， 她老公一直和她老公的爸爸生活。 婚后小两口总是吵架，于是两位亲家总来劝架， 一来二去这二老看对眼了结婚了， 而我朋友和她老公离婚了。 一下子夫妻就成了兄妹……	3
朋友彪悍女一枚，有天我们打麻将到很晚。 她老公又催他回家，遂走之。 隔日见面，对我讲：昨天老娘遇见抢劫的了。 正想问他伤到没有，这货一脸自豪的告诉我， 被我一句话搞定了：劫财的话打麻将都输光了，劫色的话你快点，我老公在家等我呢！ 然后劫匪走了……	3
“老婆，我给咱女儿取了一个好听的名字——诗卉， 寓意如诗如花一样娇艳美丽的女子。” “算了吧！老顾”5	1
旅馆里，一个客人在休闲厅吹嘘有关系，有本事，没有办不了的事，对于这种人，大家都烦透了，一个人调侃他：“你说说你有什么办不到的事吧，这事我替你去办！” 那位客人说：“我付不起房租。”	3
海滩上，两个女人在聊天。 甲女：“你最近怎么回事，瘦了这么多？” 乙女：“我非常难过，我的丈夫对我不忠，找了个小情人。” 甲女：“那你赶快跟他离婚呀！” 乙女：“现在还不行，我想再减五公斤。”	3
某甲担心妻子精神有问题，於是去请教精神病医生。「她非常害怕衣服被偷掉，」他告诉医生。「你怎知道？」医生问。「有一天我提早下班回家，发现她雇了一个男人站在衣橱里看守她的衣服。」	3
巴顿将军为了显示他对部下生活福利的关心，搞了一次参观士兵食堂的突然袭击。在食堂里，他看见两个士兵站在一个大汤锅前。让我尝尝这汤。他命令道。 可是，将军…… 没什么‘可是’，给我勺子！将军拿过勺子喝了一大口，怒斥道，太不象话了， 怎么能给战士喝这个？这简直就是刷锅水！ 我正想告诉您这是刷锅水，没想到您已经尝出来了。士兵答道。	3
古时侯，有个姑娘就要出嫁。别人对姑娘的父母说：“女儿出嫁后，不一定就能生儿子。所以平日应该让她从婆家多偷些衣物、器具藏在外面，防备着一旦不生儿子，被婆家赶出来，生活才会有着落。” 姑娘的父母觉得这个主意很对，便让女儿经常在外面藏私房钱。姑娘的公婆发现了这件事，就说：“做了我家的媳妇，却又生外心，这样的媳妇怎么能要？”于是便把她休了。 姑娘的父母更加佩服给自己出主意的那个人有远见，便把女儿被休的事告诉了他，并认为那人对自己很忠心，所以始终对他很好。	3
知道买单的为什么都是丈夫吗？丈夫反过来念一念，你就明白了； 知道丈夫什么要赚钱养家吗？夫字倒过来看一看，你就明白了。	1
经理做了个痔疮手术，同事们约着一起去医院探望。男男女女七八个人来到病房，都对着经理呵呵地傻笑，谁也不好意思开口问他的病情。 只听司机老章干咳了两声，很认真地问经理：“听说‘底盘’出了点故障，现在好些了吗？”	2
午夜通过银行的层层关卡,终于来到保险柜前,费了半天劲,终于打开了.却发现里面全是袋装的奶,很是上火. 于是把别的保险柜全部翘开了,发现里面也全是奶,更为恼火.最后把里面的奶全部喝光,扬长而去. 第二天,买来报纸打算看看自己的丰功伟绩,报纸头条:疯狂歹徒!!精子银行被盗!	3
儿子念幼儿园中班，岀去玩回来，嫌弃家里没钱没车。 我火了：“有本事你就换个妈！” 儿子沉默许久，幽幽地说：“就我这不听话的儿子，也只配有你这个破妈。”	3
在酒吧间，两个老朋友相遇了。 “你在这里干什么？要知道，医生不是不许你再喝酒了吗？” “是的。可是要知道，那个医生不久前已经去世了。”	3
男：你放心！我一定会娶你的！一定会有个交待！ 女：得等到什么时候？ 男：快了！离了婚就娶你！ 女：你什么时候离？ 男：快，我和她明年结婚！结完就离！ 女：啊？为什么还要等到明年结婚？ 男：快了，她今年还没离嘛！	3
一个有浓重口音的老师提问学生：“50+9=?” 学生想了半天答：“武术+酒=醉拳。”	1
一个73岁大爷要做下肢手术，麻醉医生打完麻醉后，问：“脚麻吗？” 大爷无语，医生提高分贝再次发问：“脚麻吗？” 大爷怒吼：“我都三十年不叫妈妈了！”	1
一女人抱着婴儿去看病。男医生看了看婴儿，随后摸了摸女人的咪咪。 男医生说道：“奶水不足，婴儿营养不良！” 女人怒骂道：“你TMD不开口先问问就摸？我是孩子他小姨！”	3
一山里老农，因腰疼到城里的医院就医，挂了专家号，1号。 一会儿，导诊小姐喊:幺(1)号请过来就诊了，半天无人答应，接着喊:幺号不在，2号请就诊，3号、4号……。 老农一看，急了，说：我1号还没看呢，我后面的怎么都看过了，这不是欺负人吗。 导诊小姐说：我喊幺号，你怎么不吭声？ 老农说：我是1号。 导诊小姐说：1就是幺，幺就是1，现在你赶快进去看病吧。 医生问：你哪不舒服？ 老农用手指着腰部说：我1（腰）疼。 医生笑笑说：还挺幽默，好了，我给你开些药吃吃就好了，记住大丸一次一丸，小丸一次两丸。 老农捧着药丸就纳闷了：俺有病，怎么让俺的娃吃药，医生还挺神，他怎么知道俺有俩娃？大丸（娃）吃一丸，小丸(娃)吃两丸？唉！管不了那么多，吃吃试试吧。 一周过去，老农的腰疼一点也不见好，就来找医生。 医生问:你按时吃药了吗？ 老农:吃了。 医生:你怎么吃的？ 老农:俺让俺的大娃一次吃一丸，小娃一次吃两丸呀。 医生晕倒……	1
LZ女，上高中的时候爱迟到， 几乎每天都踩着早读铃声进教室。 尽管这样，路过男神的班级时还不忘往里瞟两眼， 此为背景～～一次LZ匆忙赶往教室， 偶遇男神和他同学出教室上厕所， 男神对我直望，LZ顿时心跳加速有木有， 结果男神幽幽地和他同学说：“我们回去吧，来不及了上了，这家伙来了，要打铃了”。。。。。	3
去同学家借宿，他老爸喝醉酒回来躺沙发上，喊：“儿子，电视又卡了！” 同学走过去一拍鱼缸，里面的鱼乱窜。 ‍　　他老爸说完谢谢‍看了一会儿金鱼，就睡着了。 ‍　　我看着根本没启动的电视，很是纳闷。 同学说：“他看海底世界。” 我：……	3
今天和老婆互换身份，我做妈妈她当爸爸。 宝贝儿子傍晚补习班回来进门就叫：“妈妈我回来了。” 我穿个围裙从厨房出来，面带微笑：“bb回来啦？你爸爸出去了等等回来。” 等老婆回来的时候儿子哭着对老婆跑去：“妈妈，爸爸他疯了，疯了”。。。	3
儿子：爸爸，什么叫法律? 父亲：法律就是法国的律师。 儿子：那么什么是法盲? 父亲：那当然就是法国的盲人。	2
老师：乔尼，学生守则一共几条？ 乔尼：十条。 老师：如果你破坏了其中的一条…… 乔尼：那还有九条！	3
相传，有个老巫婆叫高素。 她有三个女儿，可蹈，可薇，可姬。 这三个女儿和一个叫韩树的青年纠缠不清。 老巫婆总叫人证明三个女儿和韩树有关系！	1
暑假旅游，途中塞车。一男生得到一只小板凳，坐在路边看山野景色。一女生拿着一只大石榴，俯身对他说：我用一只石榴换你一只板凳。 男生换了，刚要剥石榴，女生回头说：待会儿我要用板凳换回石榴。	3
一天，老师笑容满面的走向讲台，对全班同学说：同学们，告诉你们一个好消息啊！学校春季运动会要开始了，同学们要踊跃报名啊！我说一下可以报名的项目：有60米、100米、200米、4-100米等。 话音刚落，同学们都情绪激动，纷纷报名，只见小明冲上讲台，大声说：老师，我报100米！100米多少钱啊？ 老师听了很奇怪。连忙解释：100米不要钱的。 另一个同学也很诧异的问：那老师200米呢？ 老师见状连忙说：这是运动会啊，报名不收钱的。 学生们如释重负的说道：唉，终于有不花钱的报名了。 教师哗然……	3
阿赵中午下班回家，肚子饿得咕咕叫，老婆却忙着去喂猪。阿赵不高兴了，责怪道：“老婆，总不见得又要我去买方便面吧，先把我喂饱行不行？” 老婆一愣：“你说什么？要我喂你？你又不是猪！” 阿赵可怜兮兮地说：“我每月赚一千多元工资，把我喂好了，就相当于你每年养了二十头猪呀！”	3
昨天女儿回到家，高兴地说：“我写的作文在报上发表了！” 我问道：“什么报？是不是《小学生学习报》？” 女儿撇撇嘴：“比这个大多了！” 我很惊喜：“难道是《中国少年报》？” 女儿说：“比这个还要大！” 我实在想不起来了，就问女儿：“那你说是什么报啊？” 女儿说：“是我们班的黑板报啦！”	3
有个妇女怀孕了好几个月，一天突然肚子出奇的剧疼，于是就去找某妇科医生看看。 妇科医生给她把了一会儿脉后，摇摇头说：“抱歉，问题不在于你，在于你肚子里的孩子，我也爱莫能助，你还是去找儿科医生诊断吧！”	3
正在玩手机，女神发短信过来了： “我想见见你，不要告诉你室友，就你和我。” 我立马回道：“你当我是什么人？ 我室友这么喜欢你你还这样对他正常吗？。” 说完删了短信把手机还给室友了。	3
小猪对妈妈说：妈妈，妈妈，我要去参加动物的长跑越野大赛。 猪妈妈：你不要命啦？ 小猪：贵在参与，我不会拼命跑的。 猪妈妈：不是这个意思，我担心的是你跑得一身瘦肉，会被主人率先杀掉。 小猪：娘哎，凡事别总往坏处想，我锻炼得健壮了，还有可能会被选拔为‘种猪’呢。 猪妈妈听后睁圆了眼睛：啊？那还得了，咱得事先说好，将来‘隔代抚养’的事儿与我无关！	3
顾客：你们饭馆的米饭真不错，花样繁多。 服务员：不就一种吗？ 顾客：不，有生的，有熟的，有半生不熟的。	3
六月酷暑，一个月没下过雨，地干田裂，眼看今年将颗粒无收。 “奶奶，奶奶，今晚有流星雨！”兴奋的小孙女想许个公主的愿望。 奶奶一脸期盼:“谢天谢地，终于有雨了。”	2
在纽约，一个女人牙齿痛得很厉害。她本打算去牙科门诊，却不想误入了一家著名律师的办公室。她推开门，看见有个年轻姑娘正在打字。 “小姐，”她问那位姑娘，“这里拔牙吗？” “不！”姑娘干脆地答道，“这里不拔牙，只管扯皮。”	2
有人问一位旅游者：“你跑了好多地方，觉得什么地方最好？” “当然是家里。” “既然是家里好，那你为什么还要出来旅游呢？” “要是不出来，我怎么知道是家里好呢？”	3
有一天去天津比较出名的大桥道食品店买吃的。差不多每次都要买老婆饼吃吃！结果那天我看到新出了一种稍微小一号的饼，样子基本一致，可是我不确定，于是向售货员阿姨发问：“这个是小老婆饼吗？？” 结果全场白眼！	2
某君一日上网聊天，因打字速度太慢，惹来聊友一阵牢骚：你说话怎么吞吞吐吐，你是哑巴？ 某君：是啊，你不会歧视残疾人吧？	3
姐夫个性木讷寡言，与内向的姐姐正好是一对。 婚前二人同事3年，彼此虽然有意，却没有勇气表白。后来在同事安排下，他们开始约会了。 姐姐羞怯怯地问道：为什么每次我们四目相投的时候，我总觉得你的眼里有很特别的东西？ 姐夫脸红红地答道：哎呀！你怎知道我有砂眼的？不过请放心，医生说差不多已痊愈了。	3
一个人在酒吧喝酒呢， 服务员和我聊了起来：“兄弟，你山东的吧？”， “你咋知道？因为我说话口音啊还是因为我点趵突泉喝啊？”， “你普通话很标准，喝这啤酒的人呢也多了去了”， “那你咋知道的？”， “我是没见过喝啤酒只就大葱的啊兄弟”。	3
一个男人很怕老婆。 一天，他老婆又当着客人的面和他吵了起来，并打了他一个耳光。为了面子，男子壮着胆子大吼：“你敢再打我一下！” 他老婆毫不犹豫地又打了一下。 男子看吓不住老婆，只得说：“既然你这么听话，我就饶你一次吧。”	3
男生带女生出去玩，女生问：“我们去哪里？” 男生本想说去公园划船，去船上，但一着急说：“去床上吧！” 女生慌忙逃走。	1
法官：当你进行偷窃的时候，你就不想想你还有个年迈的母亲吗？ 被告：怎么不想呢，当官，可实在找不到什么她老人家合用的东西。	2
妻子说：儿子在我肚子十个月，已经到了承包期，现在该你买断了。	2
女人常发牢骚，说男人没本事，迎娶她时家里啥都没有。 她指着衣柜、彩电、床、被子说：“这些东西都是我从娘家带来的，你有啥?” 男人一笑，指着她怀里的孩子说：“你敢说孩子也是你从娘家带来的?”	2
儿子：“爸......爸......我留级了，您不要难过！” 父亲：“为什么？” 儿子：“我们的老师也留级了。她今天又到这一班来教我们了。”	3
正在生气时，他儿子拿着书本走过来问到：“爸爸，成语明珠暗投怎么解释。” 老张一听大怒，打了他儿子一巴掌骂到：“亏老子辛辛苦苦供你上学，连个成语都不会解。‘明猪暗偷’的意思不是很简单吗？白天买的猪，在夜里被人偷了，还用老子教吗？	2
男同事夸女同事面相旺夫！女同事心中大喜！ 女同事问：“真的吗？真的吗？怎么看出来的？” 男同事：“你这长相让老公看了就没啥欲望，只能一心一意搞事业了！”	3
在一间面馆里，一对夫妻正津津有味地吃着拉面，突然，妻子对丈夫大发感慨：“真好吃，你知道这么好吃的拉面是怎么做出来的？” 丈夫不假思索地冒出这么一句：“当然是拉出来的啊！”	2
病人：姓魏！ 大夫：魏什么？（为什么？） 病人：因为我爸爸姓魏，所以我姓魏。 大夫：姓名？ 病人：魏伸莫！ 大夫：我问你姓名，你问我为什么？神经病！ 病人：我没有问你？我是叫魏——伸——莫。 病人包扎好伤口，担心明天星期天没有人换药，就问大夫：明天有谁值班？ 大夫没好气地说：刘医生。 病人很生气：什么态度？我问你谁值班？你说留医生，不留医生？难倒留一个护士？	1
