question1,question2,label,category
两个都没有艾滋病的人肛交没戴安全套会感染艾滋病吗,没有带套性交会不会感染艾滋病,0,aids
急性乙肝恢复期，有可能转为小三阳吗,如果是怀孕期得的是急性乙肝恢复期的情况会怎样,0,hepatitis
避孕套能预防艾滋病吗,内射精但避孕套没有破德艾滋病几率,0,aids
糖尿病人醉酒后还能打胰岛素吗？,患有糖尿病，如果受伤流血了，会流血不止吗？,0,diabetes
乳腺癌术后淋巴结转移怎么办,乳腺癌发生肺部转移怎么办,0,breast_cancer
乳腺增生会引起乳腺癌吗,乳腺增生会成为乳腺癌吗？,1,breast_cancer
乙肝五项和乙肝六项检查有什么区别,什么是乙肝六项,1,hepatitis
糖尿病出现了三高病症怎么办,糖尿病三高怎么办,1,diabetes
为什么糖尿病易疲劳,糖尿病的前兆是什么样,0,diabetes
患高血压的人能练瑜伽,高血压者可以跑步运动吗会减压吗,1,hypertension
糖尿病人能吃鸡蛋吗,请问血糖7.12是糖尿病吗,0,diabetes
有糖尿病，高血压，吃什么要对胆囊炎好,高血压吃药现在正常能否怀孕,0,hypertension
我男友的症状是不是高血压,请问像我这样的血压属于什么高血压，不会以后就是高血压了吧,0,hypertension
糖尿病三餐如何搭配？,糖尿病人一天三餐怎么吃好呢,1,diabetes
乙肝患者熬夜会加重病情吗,乙肝患者要注意什么,0,hepatitis
艾滋病早期症状特点,艾滋病前期症状是什么,1,aids
糖尿病人饿了怎么办,糖尿病有周围神经病变怎么办,0,diabetes
龟头痒和糖尿病有关吗,您好糖尿病人的霉菌性阴道炎用啥药,0,diabetes
乳腺囊肿与乳腺癌有什么区别,乳腺癌与腺癌的区别和乳腺癌与肺癌的区别,0,breast_cancer
吃糖份高水果容易得糖尿病吗,糖尿病家族史一定会遗传吗,0,diabetes
有糖尿病的老人是否能吃海参,患糖尿病的人能吃海参吗,1,diabetes
尖锐湿疣会引发艾滋病吗,艾滋病人的肛内得了尖锐湿疣已经有几年了怎么办。全是大个的,0,aids
高血压有甲亢怎么治疗,高血压可以彻底治疗吗？怎么治疗,0,hypertension
糖尿病女人做流产有危险吗,糖尿病人可以做流产吗,1,diabetes
请问高血压能吃虾和螃蟹吗,高血脂高血压能吃虾青素吗？,0,hypertension
4个加号的糖尿病严重吗,是不是糖尿病？治疗方案,0,diabetes
糖尿病的运动量如何掌握,糖尿病人怎样运动最好,1,diabetes
艾滋病高血脂怎么治疗,（1）血脂高是否是早期艾滋病症状（2）喝汤时出汗很多是否是早期,0,aids
求助，糖耐量不过关，请给点建议，谢谢~~,糖耐量受损怎么治疗,1,diabetes
doc糖尿病酮症酸中毒,糖尿病人能否做手术,0,diabetes
1型糖尿病能治愈吗？,糖尿病会治好吗,0,diabetes
尿蛋白是什么意思,尿蛋白的含义,1,diabetes
口交感染艾滋病的几率是多少,艾滋感染几率,0,aids
老年人糖尿病能吃红枣吗,小米粥和玉米粥糖尿病人可以吃吗？,0,diabetes
胰岛素的分泌器官,不能吃甜食，是不是得了糖尿病？,0,diabetes
孕妇糖尿病患者血糖控制在多少,糖尿病人经常拉肚子怎么办,0,diabetes
糖尿病对人有什么危害,得糖尿病有生名危险吗？,1,diabetes
妊娠糖尿病诊断标准,孕26周，各项血糖值可确诊我是糖尿病吗？,1,diabetes
国家提供免费检测HIV服务吗,艾滋病患者发病期找您就诊可以吃免费原厂药吗,0,aids
听说胃转流手术可以治疗糖尿病是吗,请问胃转流手术能治疗糖尿病吗？,1,diabetes
糖尿病人服用什么降压药好？,为什么容易患糖尿病,0,diabetes
糖尿病人早上空腹跑步好吗,糖尿病人早上空腹可以跑步吗,1,diabetes
乙肝免疫球蛋白什么人能打,要打乙肝免疫蛋白球么,0,hepatitis
糖尿病人可以吃蚕豆吗？,糖尿病人可以吃豆面吗,1,diabetes
请问尿频是什么原因.会不会是糖尿病,糖尿病多尿的主要原因,1,diabetes
我得了高血压病吗？怎样防治？,你好，高血压在吃药期间可以怀孕吗？有对胎儿没影响的降压药吗？谢谢！,0,hypertension
糖尿病夜里2点血糖低怎么办,糖尿病并低血压吃什么好,0,diabetes
糖尿病空腹血糖控制不佳的原因,遗传性糖尿病怎么预防,0,diabetes
糖尿病烂足该怎么治疗？,铁皮石斛治疗糖尿病效果如何,0,diabetes
请问高血压引起的供血不足该怎样治疗,高血压、高血脂供血不足怎么治疗,1,hypertension
艾滋病检测应该去哪里，检测费用一般是多少,艾滋病检查应该去哪里啊怎样收费的啊,1,aids
手术后有糖尿病刀口一直好不了，怎么样才能尽快把糖降下去？,糖尿病用什么治疗好？,0,diabetes
乳腺癌晚期动了手术能活多久,乳腺癌能活多久,0,breast_cancer
糖尿病人能不能喝酸奶,糖尿病人能喝酸奶么,1,diabetes
高血压长期服用减肥药，我想问一下这样长期下来对身体好不好的,高血压患者长期失眠，能吃安眠药帮助睡眠,0,hypertension
血压点，吃什么可以提高血压,高血压要怎样治疗？,0,hypertension
多囊卵巢综合症和糖尿病有关吗,多囊卵巢综合征跟糖尿病有关吗,1,diabetes
艾滋病主要通过什么途径传播,全部症状：艾滋病的传播途径有哪些啊谁知道,1,aids
糖尿病肾病用什么降糖药,糖尿病肾病血糖高应该用什么药,1,diabetes
糖尿病可以吃周黑鸭吗,低血压的人会得糖尿病吗,0,diabetes
高血压的病因与治疗,高血压是啥子引起的，我是学生，现血压有,1,hypertension
得糖尿病之前会流鼻血吗？,糖尿病会不会流鼻血,1,diabetes
乙肝患者需要吃抗病毒药吗,男人吃乙肝抗病毒药可以不可以生育吗,0,hepatitis
动物会感染传染艾滋病吗,会不会传染艾滋病啊,0,aids
饮食过咸会导致高血压吗？为什么？,经常喝酒会导致高血压吗,0,hypertension
这样能传播艾滋吗,艾滋病传播几率大吗,0,aids
糖尿病脂肪肝吃什么,二型糖尿病能和蜂蜜吗,0,diabetes
肝癌病人高血压丶糖尿病贫血怎么补血,你好！我是肺结核加糖尿病加贫血，我怎么,1,diabetes
糖尿病足怎么护理,糖尿病小腿发涨要怎么治疗啊？,0,diabetes
中期乳腺癌化疗好吗,乳腺癌怎样化疗放疗好？化疗8次。,0,breast_cancer
糖尿病可不可以不打胰岛素，吃什么药可以,糖尿病引起的性功能障碍吃什么药,0,diabetes
糖尿病人可以吃木瓜汤吗,糖尿病人可以吃菠萝吗,1,diabetes
高血压患者需要长期服药吗，有没有根治的,高血压高龄患者有嘴麻、手麻、腿麻、是怎么回事？,0,hypertension
同性为什么容易得艾滋病呢,我想问下，艾滋病是不是因为吸毒人员容易得,0,aids
国家提供免费检测HIV服务吗,艾滋病HIVrna检测，可以检测到几周,0,aids
糖尿病人补血的食品有哪些,糖尿病可以吃什么水果？在饮食方面应注意什么糖尿病可以吃什么水果？在饮食方面应注意什么？？,0,diabetes
糖尿病能喝乌鸡汤吗,糖尿病人能吃银耳枸杞汤吗,1,diabetes
糖尿病人醉酒后还能打胰岛素？,糖尿病人醉酒后还能打胰岛素吗？,1,diabetes
请问：糖尿病的眼睛疼痛怎么办？,糖尿病下肢疼痛难忍咋办,1,diabetes
乳腺癌会死吗,得了乳腺癌会死吗？如果会死有什么方法可,1,breast_cancer
糖尿病分几个类型,属于糖尿病的哪一种?,1,diabetes
乳腺癌晚期还能活多久呢,咨询乳腺癌晚期能活多久？,1,breast_cancer
艾滋病抗体是是什么意思,艾滋病抗体是是什么意思，化验单上是这么写的,1,aids
慢病政策相关,论治糖尿病的方法,0,diabetes
乳腺癌中期有什么症状,乳腺癌会有什么症状呀？,0,breast_cancer
高血压心脏病怎么治？,这样的症状是高血压吗？,0,hypertension
全身瘙痒会不会是得艾滋病,艾滋病阳性会全身痒吗,1,aids
2型糖尿病男人可以要孩子按吗,男的糖尿病能生孩子吗,0,diabetes
乳腺癌晚期是手术好还是化疗好,乳腺癌是手术好还是化疗好？,1,breast_cancer
乳腺癌病人要切除卵巢吗,乳腺癌的卵巢抑制疗法有不良反应吗？,0,breast_cancer
乙肝后吃贺普丁耐药怎么办,乙肝病毒耐药了有什么危害,0,hepatitis
得了艾滋病的人一般能活多久,7岁小孩患艾滋能活多久,1,aids
糖尿病吃什么药降血糖快,糖尿病用什么降糖药好呢,1,diabetes
请问高血压患者吃核桃粉、芝麻粉,在市场买的象山核桃大小的说是雪莲果里面有种子比大米粒小一点说可以治高血压等有雪莲果吗,0,hypertension
糖尿病贫血怎么补血,18岁女生易得糖尿病吗,0,diabetes
糖尿病夜里2点血糖低怎么办,糖尿病患者低血糖怎么办？,1,diabetes
糖尿病肾病多少算低血糖,有低血糖的人是否也是糖尿病人？,0,diabetes
艾滋病早期症状特点,我这些症状有没有可能是艾滋病初期症状,1,aids
低血糖的人会得糖尿病吗,糖尿病人咳嗽服什么药,0,diabetes
糖尿病人能喝水果酵素,糖尿病人可以喝补血口服液吗？,1,diabetes
乙肝患者在皮肤上有哪些症状,乙肝大三阳食疗怎么样,0,hepatitis
你好，请问血糖12是糖尿病吗,糖尿病人冬季养生,0,diabetes
糖尿病肾病的症状是什么,糖尿病肾病早期症状有哪些,1,diabetes
挤乳头有液体溢出是不是乳腺癌,乳房疼痛乳头可挤出白色液体是乳腺癌吗,1,breast_cancer
糖尿病便秘怎么调理,二型糖尿病的护理措施,1,diabetes
这样会感染吗,和女友口交担心感染艾滋病，而且是长时间的，问这样能感染吗,0,aids
有乙肝还有糖尿病怎么治疗,糖尿病人感冒都二十天了，一直不好怎么办,0,diabetes
二型糖尿病能要小孩吗,你好医生糖尿病人还可以生孩子吗,0,diabetes
乙肝大三阳孕妇可以母乳吗,乙肝病毒携带可以自己哺乳吗,1,hepatitis
艾滋病会不会通过蚊子传播,艾滋病人身上的蚊子块会传播艾滋吗,0,aids
糖尿病用什么药最好哪里能够买到特效药,糖尿病的全面控制目标（达标的标准）包括哪些内容？,0,diabetes
万医生你好我老父亲糖尿病脚肿怎么治好,有糖尿病家族史，我会被遗传吗？,0,diabetes
葡萄糖注射液糖尿病人能用吗？,血糖15.44属于糖尿病么，怎们降血糖,0,diabetes
糖尿病怎样旅游,糖尿病患者有哪些眼部症状需要看眼科医生？,0,diabetes
红枣糖尿病可以吃吗,糖尿病空腹血糖高，吃饭后又偏低请问是怎么回事啊，,0,diabetes
已经糖尿病足怎么办该怎么治疗,二型糖尿病血糖控制在什么范围内正常？,0,diabetes
糖尿病会引起腿脚胳膊关节疼痛吗,糖尿病会引起关节酸痛吗,1,diabetes
糖尿病大便干燥怎么办？,糖尿病人大便干怎么办,1,diabetes
尿液汗液会传染艾滋病吗,不小心吃进去23滴尿液会感染艾滋病吗,1,aids
乳腺癌转移扩散还能活多久,乳腺癌晚期转移病人术后能活多久,0,breast_cancer
糖尿病引起的肾病通过治疗可以痊愈么？,您好我想问一下检查糖尿病该注意什么,0,diabetes
高胆固醇，高血压还有脂肪肝怎么治疗,高血压伴有房性早搏如何治疗？,0,hypertension
关于糖尿病？什么是酮症酸中毒？,妊娠糖尿病酮体四个加号怎么办,0,diabetes
乙肝表面抗原和e抗原是阳性严重吗,我想乙肝表面抗原阳性，其他全阴是怎么回事,1,hepatitis
糖尿病病人长期吃药好吗,糖尿病酮体+2是怎么回事,0,diabetes
糖尿病和尿酸高450怎治疗,糖尿病人尿酸高吃什么,1,diabetes
打呼噜真的会高血压吗,打呼噜引起高血压，怎么治疗,0,hypertension
我是一五年患上糖尿病，能吃伟哥吗,糖尿病人可以吃万艾可吗,1,diabetes
糖尿病人可以喝蛋白粉吗,尿检糖大于300是糖尿病吗,0,diabetes
1型糖尿病人饮食,1型糖尿病在饮食上要注意什么？,1,diabetes
乳腺癌早期怎么办,患有乳腺癌早期咋办？,1,breast_cancer
我想问问糖尿病治疗仪治糖尿病管用吗,糖尿病治疗仪有用吗？,1,diabetes
艾滋病的检查及费用,做艾滋病检查检查费用是多少前几天找了朋友,1,aids
下在南宁乙肝病毒小三阳可以办健康证,我想问一下在烟台有乙肝的可以办健康证吗,1,hepatitis
纤维有助于糖尿病控制吗？,膳食纤维有何降血糖作用？,1,diabetes
乳腺癌会死吗,患乳腺癌会不会死呀,1,breast_cancer
c肽的概念,怀孕30周，血糖检查的结果是8.8，属于正常吗？,0,diabetes
艾滋病窗口期会出现腹泻症状吗,艾滋病感染四年还有腹泻吗,0,aids
糖尿病患者可以喝杂粮粥吗？,糖尿病可以吃稀饭吗,1,diabetes
怎样才知道自己是否患了糖尿病呢?,怎样确定是否得了糖尿病,1,diabetes
糖尿病适合吃西洋参吗,多吃甜食会得糖尿病吗,0,diabetes
尿液汗液会传染艾滋病吗,上厕所时肛门沾到艾滋病人才拉下十几秒钟的尿液会染上艾滋病吗,1,aids
糖耐量试验为什么是75克葡萄糖？,请问糖尿病脊髓病变有什么症状,0,diabetes
办健康证查乙肝吗,打乙肝疫苗有效期,0,hepatitis
乙肝携带者可以过性生活么，一起生活在一,我和乙肝大三阳患者在一起吃饭7天会传染给我吗,0,hepatitis
乳腺癌前期有什么症状,乳腺癌有哪些前期症状呢？,1,breast_cancer
糖尿病尿糖一直４个＋号怎么治疗,糖尿病4个加号严重吗,1,diabetes
求助糖尿病轻度胃瘫的治疗方法有那些？,我的糖尿病该如何治？,0,diabetes
您好！请问高血压引起脑出血后如何应对后遗症，如失语，半身不遂,高血压患者说要少吃盐，如果吃盐多的话钠的含量会超标，那把盐换成低钠盐的话，是否可以适量多吃？,0,hypertension
精液、阴道分泌物能传染艾滋病吗,我换了HIV但是没有，我的精液能不能洗涤与人工受孕,0,aids
有糖尿病的人可以怀孕吗,医生你好，我是那糖尿病能不能怀孕吗,1,diabetes
低血糖的人能得糖尿病吗,下午饭前低血糖是糖尿病吗,1,diabetes
怎样才能降低血糖,糖尿病人尿酸高能否喝柠檬水,0,diabetes
我母亲现在患有糖尿病请问怎么治疗,糖尿病常用药有哪些？？,0,diabetes
为什么最近几年乳腺癌的发病率逐年提高呢,乳腺癌怎么发病率这么高？,1,breast_cancer
1型糖尿病会引起什么并发症和并发疾病？,一型糖尿病会有什么并发症,1,diabetes
为什么会得乙肝小三阳,打过乙肝疫苗为什么会得乙肝小三阳,1,hepatitis
慢性乙肝注意什么,乙肝病毒携带者性生活注意什么,0,hepatitis
长期高血压会引起肩膀疼痛吗,高血压会引起头痛吗？,0,hypertension
糖尿病人可以怀孕吧,糖尿病可以怀孕吗？,1,diabetes
糖尿病人如何补钙,糖尿病人吃什么补钙,1,diabetes
糖尿病人可以吃香蕉那吗,糖尿病人可不可以吃香蕉,1,diabetes
乙肝小三阳，应酬喝酒抽烟影响大吗,乙肝阳性能治好吗，说不能喝酒，不能,0,hepatitis
丈夫患糖尿病会遗传给下一代吗？,盆腔脓肿会引起血糖升高吗？糖尿病遗传吗？,0,diabetes
接种乙肝疫苗可以管多长时间,乙肝育苗第二针,0,hepatitis
高血压和脑梗塞的治疗,你好，因为高血压引起的脑梗塞导致的半摊该怎么护理？,1,hypertension
刚发现有糖尿病怎样治疗,得了糖尿病吃何种药？,0,diabetes
什么是浸润性乳腺癌,浸润性小叶癌是一种什么乳腺癌疾病？,0,breast_cancer
我有肾结石，最近血压也有点高。请问这与肾结石有关系吗？,肾动脉狭窄会引起高血压么,0,hypertension
乙肝患者如何选择抗病毒药物,乙肝患者接种甲流疫苗需要暂停服用抗病毒药物吗,0,hepatitis
糖尿病拔牙后注意事项,糖尿病患者什么情况下可以拔牙,1,diabetes
孕妇糖尿病的症状有哪些,妊娠糖尿病会特别口渴吗,0,diabetes
怎么降低血糖,糖尿病餐前23点怎么降血糖,1,diabetes
乳腺疾病会导致乳腺癌吗,有乳腺疾病会得乳腺癌吗,1,breast_cancer
酮体对人体会产生危害吗？,糖尿病是否对眼产生影响啊？,0,diabetes
乳房有肿瘤是不是乳腺癌,最近乳房变小乳腺有肿块是不是有乳腺癌,0,breast_cancer
血糖多少和打多少胰岛素的关系,糖尿病患者可以做药物流产吗,0,diabetes
糖尿病能吃蓝莓吗,我想问下糖尿病开始有哪些症状、、,0,diabetes
高血压如何防止,想咨询怎样才能预防高血压,1,hypertension
高血压的老人可不可以用足浴盆,冬天高血压患者可以通过泡脚缓解高血压吗…,1,hypertension
乙肝小三阳能治愈转阴吗,乙肝转阴治好了吗,1,hepatitis
糖尿病肾病注意事项是什么,糖尿病肾病腿肿应该怎样治疗,0,diabetes
糖尿病人吃荔枝要多少,王医生你好！请问糖尿病能不能吃火龙果水,1,diabetes
吃多含糖食物会得糖尿病吗？,什么人容易的糖尿病,1,diabetes
糖尿病视网膜病变吃什麽药,糖尿病的偏方有哪些,0,diabetes
糖尿病要控制饮水吗,糖尿病可以多喝水,1,diabetes
成都军区总医院治疗糖尿病要花多少钱,糖尿病看好一共需要多少钱,1,diabetes
2型糖尿病头晕怎么办,糖尿病人早上起床后头晕怎么办？,1,diabetes
糖尿病足溃疡发病原因,糖尿病人的末梢神经炎怎么治疗,0,diabetes
糖尿病并发症怎么防？,如何预防糖尿病眼部并发症,1,diabetes
服阿司匹林可预防高血压并发症吗？,高血压，糖尿病并发症的预防,0,hypertension
猪手糖尿病人可以吃吗,糖尿病人可以吃兔肉吗,1,diabetes
乙肝大三阳要做手术吗,我有乙肝大三阳能做近视眼矫正的手术吗,0,hepatitis
糖尿病是什么原因得上的？,请问我这会不会得糖尿病,0,diabetes
1型糖尿病患者能不能生孩子？会对孩子有什么影响？？多久检查一次身体？,为什么我经常低血糖，反而被诊断了糖尿病？,0,diabetes
腋下淋巴结肿大是艾滋病吗,我的下颌左淋巴结略肿大跟艾滋病有关系么,0,aids
全身瘙痒会不会是得艾滋病,会不会是得艾滋了,0,aids
急性乙肝病灶在哪,急性乙肝发病位置在哪,1,hepatitis
糖尿病对胎儿有什么影响？,患妊娠糖尿病两个月了怎么办？具体有什么影响,0,diabetes
糖尿病患者的血糖控制到多少就可以,糖尿病血糖控制到多少可以减药,0,diabetes
乳腺癌术后还需要化疗吗,非浸润型乳腺癌术后是否需要化疗,1,breast_cancer
2型糖尿病可否用胰岛素,糖尿病人什么时候适合注射胰岛素？,0,diabetes
艾滋病淋巴肿大有什么特殊症状,艾滋病患者劲后淋巴肿大，一般是什么症状,1,aids
艾滋病跟尖锐湿疣、梅毒有联系么,尖锐湿疣和艾滋病都得了怎么办吃艾滋病抗,0,aids
怀孕有糖尿病怎么办,糖尿病能性生活吗,0,diabetes
妊娠高血压可以吃什么水果,我妊娠高血压，两个月了怎么还没降下来，,0,hypertension
手淫自慰是否会感染艾滋病,从医院回家后手淫会感染艾滋病吗,1,aids
怎样是一型二型糖尿病,区分是一型还是二型糖尿病，要作哪些化验,1,diabetes
请问有高血压病史，得了支气管炎用什么药好？谢谢,有胃病、颈椎病、高血压、支气管炎等怎么办,1,hypertension
糖尿病于引起的白内障可以手术吗？,糖尿病患者患有白内障，可否安全手术？,1,diabetes
带套嫖娼会不会感染艾滋病毒,带套性交会不会感染艾滋病，只要,1,aids
糖尿病引起的肾衰竭吃什么药,急~~糖尿病患者的血小板高怎么回事,0,diabetes
妊娠期空腹血糖5.9是不是糖尿病,糖尿病吃什么中成药,0,diabetes
干扰素可以治愈慢性乙肝吗,慢性乙肝容易治愈吗,1,hepatitis
做尿常规，尿糖1是怎么回事,得糖尿病的原因,0,diabetes
你好，糖尿病怎样可以不打胰岛素控制病情,低血糖有哪些症状？,0,diabetes
恶性肿瘤是乳腺癌吗,请问乳腺恶性肿瘤是乳腺癌吗？,1,breast_cancer
孕妇糖尿病筛查价格,孕检糖尿病筛查多少钱,1,diabetes
糖尿病人会性欲减退能服用壮阳药吗,提交怎样才能预防糖尿病并发症？,0,diabetes
急性乙肝恢复期怎样治疗,现在处于乙肝复发期应该如何让治疗,1,hepatitis
1型糖尿病会遗传吗？,问一下糖尿病人如何减肥？,0,diabetes
糖尿病患者不能做白内障手术吗？,糖尿病患者视力模糊怎么办,0,diabetes
妊娠糖尿病能吃地瓜吗,妊娠期糖尿病可以吃粉丝吗,1,diabetes
被别人摸了会传染艾滋病吗,接吻会被传染艾滋病吗前几天，别人给,0,aids
乙肝携带者吃哪些药会有不良反应,什么是乙肝大三阳携带者会反应哪些情况,0,hepatitis
糖尿病患者的三餐分配原则,糖尿病患者的一日三餐是什么,1,diabetes
慢性乙肝如何治疗,感染了慢性乙肝后，自己恢复后是否还会复发,0,hepatitis
艾滋病的血常规正常吗,艾滋病的话血常规还会正常吗,1,aids
怎样才能降低血糖,沙刺能降血糖吗对糖尿病有用吗,0,diabetes
乙肝表面抗体及核心抗体阳性会传染吗,乙肝核心抗体阳性会转化成小三阳吗,0,hepatitis
糖尿病会变尿毒症吗,糖尿病的病发症有那些？,0,diabetes
艾滋病在潜伏期能否检测出来,艾滋病病毒在潜伏期能查出来吗,1,aids
皮肤有小红疙瘩是艾滋病的症状吗,艾滋病是什么症状。教特别痒腿上有几个红疙瘩,1,aids
妈妈高血压导致现在嘴巴有点歪该怎么办？,年龄56岁，有高血压，高血脂，最近几天两个手指有些麻，舌头和嘴也有些麻，怎么回事呀？请大夫回答。,1,hypertension
乳腺癌早期有可能有哪些症状,乳腺癌的早期症状具体会有哪些？,1,breast_cancer
糖尿病大便干结便秘如何治疗..,患糖尿病，每天晚上口干怎么办？,0,diabetes
糖尿病肾病尿蛋白4＋现在怎么治疗,糖尿病患者，肾上有三个加号，能治疗吗？,1,diabetes
糖尿病患者怎样控制喝水,做糖耐量期间可以喝水吗？,1,diabetes
早期糖尿病注意事项,糖尿病人需注意事项,1,diabetes
请问高血压可以喝灵芝水吗？灵芝煲鸡汤呢？,我妈妈快60了，患有高血压，最近早上起来总是会感觉手麻，该怎么办,0,hypertension
糖尿病人能燕麦面吗,糖尿病能否吃桂格燕麦片,1,diabetes
甲亢和糖尿病有联系吗,妊娠糖尿病可以吃瓜子吗,0,diabetes
糖尿病人如何增胖,糖尿病患者如何增加饱腹感,0,diabetes
乳房有肿块是不是乳腺癌,乳房里有肿块会是乳腺癌吗？,1,breast_cancer
24岁，昨天体检高血压，有问题吗，问题,高血压能献血吗,0,hypertension
乙肝疫苗第三针推迟了一个多月打还有效果吗,35周注射的第二针乙肝疫苗，第三针可以,1,hepatitis
高血压加痛风如何用药？,高血压和痛风怎么治,1,hypertension
糖尿病是否无法根治,糖尿病到了皮肤不愈合的程度有什么方法治疗？,0,diabetes
请问糖尿病的治疗,糖尿病如此症状要怎样治疗??,0,diabetes
乳腺癌术后淋巴结转移怎么办,乳腺癌术后3年转移到全身该怎么办？,0,breast_cancer
有打了乙肝疫苗天生就是没抗体的吗,为什么不能打乙肝疫苗呢,1,hepatitis
糖尿病患者常出现低血糖情况怎么办?,糖尿病人出现低血糖2.9出汗没劲怎么办,1,diabetes
糖尿病吃什么调理,糖尿病人吃怎么样,0,diabetes
糖尿病人可以用按摩足垫吗,治疗糖尿病按摩,1,diabetes
我想问下糖尿病可以吃什么中药,高血压糖尿病吃中药吗,1,diabetes
男人会得乳腺癌吗,男生会得乳腺癌吗？,1,breast_cancer
宠物糖尿病相关,糖尿病GBP手术可行吗糖尿病,0,diabetes
纹身会不会感染艾滋,点痣会不会感染艾滋病,0,aids
乳腺癌的硬块和乳腺增生的硬块有什么区别,乳房有硬块，是乳腺癌么,0,breast_cancer
是否可以确诊为糖尿病？,糖尿病的尿液是什么颜色,0,diabetes
一周三个月体检乙肝五项，必须空腹必须早上吗,为什么检查乙肝不能吃早餐要空腹,1,hepatitis
孕妇有糖尿病如何饮食,妊娠糖尿病能吃核桃,1,diabetes
这样会感染吗,这样会不会传染艾滋,1,aids
小孩打乙肝疫苗时要注意的问题,打乙肝疫苗后注意事项,1,hepatitis
请问可以通过这些检查判断就是一型糖尿病,帮我看看这个结果是1、2型糖尿病吗,1,diabetes
这样做会不会得艾滋病,这样会得艾滋病的吗,1,aids
空腹葡萄糖7.0，会不会是糖尿病？,空腹葡萄糖16.7确认为糖尿病吗,1,diabetes
有乙肝可以办理健康证,打过两针乙肝疫苗没有抗体，正常吗,0,hepatitis
糖尿病会有什么并发症,我的眼睛是否糖尿病造成的,0,diabetes
糖尿病人能吃豆浆鸡蛋吗,糖尿病人养生食谱,0,diabetes
犯糖尿病3年，近期胸闷气紧，请问：是什么原因，用什么药治。,糖尿病人胸闷，流汗是怎么回事？,1,diabetes
隐性乳腺癌如何治疗,隐匿性乳腺癌如何治疗？,1,breast_cancer
糖尿病眼底出血引起的视力下降怎么办？,请问叶主任糖尿病引起的视力下降非常严重，几乎看不见，有办法治疗吗？,1,diabetes
灵芝茶对乙肝患者有效吗25岁能喝吗,中华肝灵片可以治好乙肝吗,0,hepatitis
假性高血压饮食禁忌有哪些,饮食对高血压的影响？,1,hypertension
孕妇尿糖4个加号，是什么意思,尿糖+-代表什么意思,1,diabetes
剖析慢性乙肝难治的原因,怎么确定是急性乙肝还是慢性乙肝,0,hepatitis
请问糖尿病人的手为什么总是冷的？,手脚冰凉麻木是糖尿病吗,1,diabetes
什么是艾滋病,艾滋病有什么治好的艾滋病是什么艾滋病有什么治好的艾滋病是什么,0,aids
78岁有糖尿病能否做白内障手术,糖尿病白内障能做手术吗,1,diabetes
乳腺癌晚期会传染吗,请问乳腺癌会不会传染,0,breast_cancer
请问糖化血红蛋白6.7是糖尿病吗？,属于糖尿病的哪一种?,0,diabetes
艾滋病应该如何调理,艾滋病毒感染者应如何护理,0,aids
糖尿病人缺铁性贫血怎么补血,糖尿病如何确定胰岛素的用量,0,diabetes
关于糖尿病？什么是酮症酸中毒？,糖尿病酮症看什么诊断,0,diabetes
乳腺癌晚期有什么症状,乳腺癌到了晚期有什么症状啊？,1,breast_cancer
请问糖尿病治疗仪有用吗,糖尿病治疗仪效果究竟如何？,1,diabetes
乳腺炎会导致乳腺癌吗,乳腺炎会变成乳腺癌吗,1,breast_cancer
有妊娠糖尿病怎样安排饮食,妊娠糖尿病可以吃红心蜜柚吗,0,diabetes
眼底出血有糖尿病、怎么办,哪些补血药物适合糖尿病患者,0,diabetes
打过两针乙肝疫苗，第三针还未打，会不会,打第二针乙肝疫苗可以吃补钙的药吗,0,hepatitis
慢性荨麻疹可以打乙肝疫苗吗,乙肝疫苗接种的必要性,0,hepatitis
1型糖尿病能生小孩吗,一型糖尿病的遗传有多大几率,1,diabetes
口交如何传染艾滋病,性交是如何传播艾滋病,0,aids
乳腺癌各个时期的特征是什么,得乳腺癌的特征得乳腺癌的特征,0,breast_cancer
乳腺癌中期术后可以不化疗吗,早期乳腺癌可以不化疗吗,0,breast_cancer
高血压喝什么汤好？,请问高血压可以喝蹄子汤吗？,1,hypertension
有甲亢的患者还会有糖尿病吗~,孕期糖耐量异常会有什么危害？怎么控制？？,0,diabetes
患有低血糖的同时又有糖尿病怎么办？？？？,女人低血糖吃什么好呢,0,diabetes
糖尿病人能喝豆浆和能吃豆腐吗,糖尿病吃豆腐会怎样,1,diabetes
乳腺癌化验肿瘤标志物是怎么回事,乳腺有肿块是怎么回事？是乳腺癌吗？,0,breast_cancer
1型糖尿病的治疗方法,糖尿病病人感觉口渴是怎么回事,0,diabetes
19岁的男孩子患上高血压怎么治疗费用多少,心肌肥厚，高血压，怎么治疗，费用要多少,1,hypertension
吃什么水果可以可以降糖尿病,糖尿病的人吃什么水果能降血糖?,1,diabetes
伤口间接接触了艾滋病人的体液、血液、分泌物会被传染吗,我阴虱咬过的伤口接触到艾滋病人的体液会传染艾滋吗,1,aids
高血压可以换药吗？,高血压怎么老是换药,1,hypertension
糖尿病后背溃烂怎么办,慢性胃炎，肠炎胃窦炎，糖尿病怎么自疗,0,diabetes
女糖尿病患者可以怀孕生小孩吗？她是家族,糖尿病能不能怀孕？,1,diabetes
胸闷和高血压有关系吗,高血压患者夏天要注意什么,0,hypertension
治疗糖尿病需要花多少钱,糖尿病自费药最贵的一粒要多少钱,0,diabetes
肠胃不好容易得糖尿病吗,肾虚是不是很容易得糖尿病啊,1,diabetes
